,Cell Methods,label,title,uid,Brand ID,Regex,Mask,Brand tag,Cell Methods Rollup (from Comments)
rec0LZ3kztZluVFST,longitude: time: mean where air,zmeana-twm,Zonal Time Mean,CellMethods::zmean,x,1.0,,,
rec21IG54SX56WBv8,area: time: mean where sector,amlu-twm,Weighted Time Mean on Landuse Tiles,CellMethods::amlu-twm,lus,1.0,,,
rec2TLeS4P1sIo7u6,area: mean where sea time: point,amns-tpt,Instantaneous over Sea,CellMethods::amse-tpt,sea,1.0,,,
rec2Xchu2KuGPhBzp,area: time: mean where unfrozen_soil,amunf-twm,Weighted Time Mean on Bare Ground,CellMethods::amunf-twm,ufs,1.0,,,
rec2nYzi5rllz6HUn,area: time: mean where sea_ice (comment: mask=siconc),amnsi-twm,Weighted Time Mean on Sea-Ice,CellMethods::amnsi-twm,si,1.0,siconc,,
rec3qgXhVLSTR40aW,area: mean where land over all_area_types time: sum,amnlax-tsum,Temporal Sum,CellMethods::tsum,lnd,1.0,,tsum,
rec4PqzKW04qD6w8A,area: mean where snow over sea_ice area: time: mean where sea_ice,amnsnsi-tmn,Weighted Time Mean over Area of Snow on Sea-Ice,CellMethods::amsnsi-tmn,sn,1.0,,,
rec7GGssqyuofwgXh,area: mean where sea depth: sum where sea time: mean,amndss-tmn,"Sum over Depth, Time Mean",CellMethods::amdss-tmn,sea,1.0,,,
rec81le3epldBQU0J,area: mean where ice_sheet,amni-fx,Fixed Area Mean over Ice Sheets,CellMethods::ami-fx,is,1.0,,,Ice Sheet cell methods error
rec8P9DvfEEs01qKh,area: mean where land time: mean (weighted by snow mass on land),amnla-tmnsn,Snow Mass Weighted,CellMethods::amnla-tmnsn,lnd,1.0,,,
rec8fAdhzzz5JKAI8,area: mean where sector time: point,amnlu-tpt,Instantaneous Mean on Landuse Tiles,CellMethods::amlu-tpt,lus,1.0,,,
rec9Tk7LszeqrwXV3,area: time: mean where sea_ice (comment: mask=siconca),amnsia-twm,Weighted Time Mean on Sea-Ice (Atmospheric Grid),CellMethods::amnsia-twm,si,1.0,siconca,,
recAE6dPrH3Fie2NW,area: mean time: minimum,amn-tmin,Temporal Minimum,CellMethods::tmin,x,1.0,,tstat,
recB9LhYGxvi4PVZw,area: sum where sea time: mean,asm-tmn,Time Mean of Area Sum,CellMethods::asm-tmn,sea,1.0,,,
recBX9pMXdx1y9asO,time: mean grid_longitude: mean,bgzmean-tm,Basin Zonal Mean on Model Grid,CellMethods::bgzmean,x,1.0,,,
recEVPgrfZKnxhvR7,area: mean where sea_ice (comment: mask=siconc) time: point,amnsi-tpt,Instantaneous over Sea-Ice,CellMethods::amnsi-tpt,si,1.0,siconc,,
recGEN8vTgVCovQPt,time: point,amn-tpt,Instantaneous,CellMethods::tpt,x,1.0,,,
recI4rXw3b4ECj8N3,"area: time: mean where convective_cloud (weighted by total convective cloud area)
",amcc-twm,Weighted Time Mean on Convective Cloud,CellMethods::amcc-twm,ccl,,,,
recIIDtju99NbGIgz,area: mean where sea,amns-fx,Area Mean over Sea,CellMethods::amns-fx,sea,1.0,,,
recJ4eDXgdP7ZrYZ2,area: time: mean where vegetation (comment: mask=vegFrac),amv-twm,Weighted Time Mean on Vegetation,CellMethods::amv-twm,veg,1.0,vegFrac,,
recK5h5qF1LqdRUw4,area: mean where land time: mean,amnla-tmn,Time Mean over Land,CellMethods::amnla-tmn,lnd,1.0,,,
recK5xqCkwUyHVn1k,"area: mean where air time: mean within years time: mean over years
",amna-clim,Annual Climatology in Atmosphere,CellMethods::aclima,x,,,tstat,
recKvFDBSK4R6Fe27,area: time: mean where trees (comment: mask=treeFrac),amtr-twm,Weighted Time Mean on Unfrozen Ground,CellMethods::amtr-twm,tree,1.0,treeFrac,,
recKzuX76gEb2JnHA,area: mean where sea depth: sum where sea (top 100m only) time: mean,amnds-tmn,"Sum over Upper 100m, Time Mean",CellMethods::amds-tmn,sea,1.0,,,
recLPFxYCEJjiqxpU,area: mean time: point,amn-tpt,Area Mean Instantaneous,CellMethods::amn-tpt,x,1.0,,,
recLrv8P2VHAbQkiO,area: mean where land time: point,amnla-tpt,Instantaneous Mean over Land,CellMethods::amnla-tpt,lnd,1.0,,,
recM9yFK34TOuTcKt,area: mean time: mean within days time: mean over days,amn-tdnl,Mean Diurnal Cycle,CellMethods::amn-tdnl,x,1.0,,,
recNTuPqAXJg4ERhX,area: sum,asm-fx,Fixed Area Sum,CellMethods::asum-fx,x,1.0,,,
recNjEllhZigL9ymK,area: time: mean where cloud,amncl-twm,Weighted Time Mean on Cloud,CellMethods::amncl-twm,cl,1.0,,,
recPgKrGZhGTSLNky,area: mean time: minimum within days time: mean over days,amn-dmin,Daily Minimum,CellMethods::dmin,x,1.0,,tstat,
recRBME78TqHTqDbC,area: mean where land over all_area_types time: mean,amnlax-tmn,Time Mean contribution from Land,CellMethods::amnlax-tmn,lnd,1.0,,,
recS9I8YrYAsoIopy,area: sum where ice_sheet time: mean,asmi-tmn,Time Mean of Area Sum on Ice Sheet,CellMethods::asmi-tmn,is,1.0,,,
recSYyARXZD6UYJK3,area: depth: time: mean,adm-tm,"Area, Depth and Time Mean",CellMethods::adm-tm,x,1.0,,,
recTDdIgvBP9Nno7Z,area: point,apt-fx,Point Values,CellMethods::apt,x,1.0,,,
recTtMGOSQQErCsn4,area: time: mean where floating_ice_shelf (comment: mask=sftflf),amnfi-twmn,Weighted Time Mean on Floating Ice Shelf,CellMethods::amnfi-twmn,fis,1.0,sftflf,,
recUULmxT4GgUTTN7,area: mean where grounded_ice_sheet,amngi-fx,Fixed Area Mean over Grounded Ice Sheets,CellMethods::amgi-fx,gis,1.0,,,
recZq8CuyJVB6yy1g,area: time: mean where ice_sheet,amni-twmn,Weighted Time Mean on Ice Sheet,CellMethods::amni-twmn,is,1.0,,,
reccNOqdapoGyM78X,area: mean (comment: over land and sea ice) time: point,amnlsi-tpt,Area Mean Excluding Ice-free Ocean,CellMethods::amnlsi-tpt,x,1.0,,,
reccjdDTJ6cVs6To7,longitude: sum (comment: basin sum [along zig-zag grid path]) depth: sum time: mean,bzzsum-tmn,Basin Zig-Zag Zonal Sum,CellMethods::bzzsum,x,1.0,,,
reccn8RUyCIT0DtYs,fixed,fixed,Fixed Field,CellMethods::fixed,x,1.0,,,
recfYDayRm62sFUsp,area: mean where land,amnla-fx,Fixed Area Mean,CellMethods::amla,lnd,1.0,,,
recfq9CqTb6R2U1l5,area: mean time: sum,amn-ts,Area Mean and Time Sum,CellMethods::am-ts,x,1.0,,tsum,
recgyKgOmMbUgk4Ce,area: mean where air time: point,amna-tpt,Instantaneous Value on Levels above Ground,CellMethods::amna-tpt,,,,,
rechhy6KHmOcnIBFU,area: mean time: maximum,amn-tmax,Time Maximum,CellMethods::tmax,x,1.0,,tstat,
reciJ5K9FFJO5StB8,area: mean time: maximum within days time: mean over days,amn-dmax,Daily Maximum,CellMethods::dmax,x,1.0,,tstat,
reciKnzSdlizSXox0,area: time: mean where crops (comment: mask=cropFrac),amc-twm,Weighted Time Mean on Crops,CellMethods::amc-twm,crp,1.0,cropFrac,,
recikI5axFizPaxLg,area: time: mean,am-twm,Area and Time Mean,CellMethods::am-tm,x,1.0,,,
recinm4MMURWR8GQq,area: mean where land over all_area_types time: point,amnlax-tpt,Contribution from Land (Instantaneous),CellMethods::amlax-tpt,lnd,1.0,,,
recj82upWagLqGWER,area: time: mean where air,ama-twm,Weighted Time Mean in Air,CellMethods::ama-twm,x,,,,
recjMrtWEdKAHFKTH,area: mean where crops time: minimum within days time: mean over days,amncrp-dmin,Daily Minimum over Crops,CellMethods::dminc,crp,1.0,,tstat,
reckiGsKHgQPZqTDc,area: time: mean where sea_ice_melt_pond (comment: mask=simpconc),amnsimp-twm,Weighted Time Mean in Sea-Ice Melt Ponds,CellMethods::amnsimp-twm,simp,1.0,simpconc,,
reckjcGgzzCltlhoD,area: time: mean (comment: over land and sea ice),amnlsi-twm,Weighted TIme Mean Excluding Ice-free Ocean,CellMethods::amnlsi-twm,x,1.0,,,
recmJmBze6Q7FqEVP,area: time: mean where natural_grasses (comment: mask=grassFrac),amng-twm,Weighted Time Mean on Natural Grasses,CellMethods::amng-twm,ng,1.0,grassFrac,,
recnSauaAzN5AcbyB,area: mean time: mean within years time: mean over years,amn-clim,Annual Climatology,CellMethods::aclim,x,1.0,,,
recoQ55iF8RIBzPRs,area: mean time: mean within hours time: maximum over hours,amn-tmh,Maximum Hourly Rate,CellMethods::am-tmh,x,1.0,,tstat,
recob5edAUZgh8jPS,area: mean where crops time: maximum,amncrp-tmax,Time Maximum over Crops,CellMethods::tmaxc,crp,1.0,,tstat,
recopCBVaFXzW6vHf,area: time: mean where sea_ice_ridges (comment: mask=sirdgconc),amnsirdg-twm,Weighted Time Mean on Sea-Ice Rdges,CellMethods::amnsirdg-twm,sir,1.0,sirdgconc,,
recpJFt9qlhSX8odm,area: mean where sea time: mean,amns-tmn,Time Mean over Sea,CellMethods::amse-tmn,sea,1.0,,,
recppqC575nzhrnXJ,area: mean,amn-fx,Fixed Area Mean,CellMethods::amn-fx,x,1.0,,,
recqAwUY8gDlo8Zam,area: mean where ice_free_sea over sea time: mean,amnifs-tmn,Partial Mean over Ice-Free sea,CellMethods::amnifs-tmn,ifs,1.0,,,
recrrZMwfaPRiLocO,area: time: mean where snow (comment: mask=snc),amnsnla-twm,Weighted Time Mean in over Snow and Ice-Covered Land,CellMethods::amnsnla-twm,sn,1.0,snc,,
recszKgA67eUKVbFV,area: time: mean where sea_ice (comment: mask=siitdconc),amnsib-twm,Weighted Time Mean in Sea-Ice Thickness Bands,CellMethods::amnsib-twm,si,1.0,siitdconc,,
rectpWcjNzWSWEhvo,area: time: mean where pastures (comment: mask=pastureFrac),amp-twm,Weighted Time Mean on Pastures,CellMethods::amp-twm,pst,1.0,pastureFrac,,
recvKMTfk7wqZEDig,area: time: mean where grounded_ice_sheet (comment: mask=sfgrlf),amngi-twmn,Weighted Time Mean on Grounded Ice Sheet,CellMethods::amngi-twmn,gis,1.0,sftgrf,,
recw2P7dIoSLBoQMB,area: point time: point,apt-tpt,Instantaneous Point Values,CellMethods::apt-tpt,x,1.0,,,
recwqOux1egZJBOlm,longitude: mean time: point,zmean-tpt,Zonal Mean,CellMethods::zmean-tpt,x,1.0,,,
recwuB1SPBkasIB7D,area: mean where crops time: minimum,amncrp-tmin,Temporal Minimum over Crops,CellMethods::tminc,crp,1.0,,tstat,
reczgcunQcEc3Pcy7,area: time: mean where shrubs (comment: mask=shrubFrac),ams-twm,Weighted Time Mean on Shrubs,CellMethods::ams-twm,shb,1.0,shrubFrac,,
reczwvHFZ7bGsEmCM,area: mean where crops time: maximum within days time: mean over days,amncrp-dmax,Daily Maximum over Crops,CellMethods::dmaxc,crp,1.0,,tstat,
reczxK3SCSq1vFJiH,time: mean,amn-tm,Time Mean,CellMethods::tmean,x,1.0,,,
