,Name,MIP Variables (from CMOR Variables),CF Standard Name (from MIP Variables) 2 (from CMOR Variables),Title (from CMOR Variables),Structure Title (from CMOR Variables),Shortlist,V1.1,Version 1.2,Version 1.3,Summary,v1.3 (standard(,Modeling Realm (from CMOR Variables),Fixed,History,V1.3 (high)
rec0CZW0KL6ahi2Mt,SImon.simass,simass,sea_ice_amount,Sea-Ice Mass per Area,"""Time and Area Mean on Single Level, Masked (Sea)""",SImon.simass,SImon.simass,True,True,Summary,SImon.simass,seaIce,,,
rec0K6eI2lUAvIdTG,day.tasmin,tasmin,air_temperature,Daily Minimum Near-Surface Air Temperature,"""Temporal Minimum, Near-Surface Field (2m)""",day.tasmin,day.tasmin,True,True,Summary,day.tasmin,atmos,,,
rec0OWDPmkNJy5EtU,Amon.rldscs,rldscs,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Longwave Radiation,Time and Area Mean on Single Level,Amon.rldscs,Amon.rldscs,True,True,Summary,Amon.rldscs,atmos,,,
rec0ZP1gOUKqmS5eO,Amon.rsdt,rsdt,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,Time and Area Mean on Single Level,Amon.rsdt,Amon.rsdt,True,True,Summary,Amon.rsdt,atmos,,,
rec17npWMZ0Jeo6jB,Efx.slthick,slthick,cell_thickness,Thickness of Soil Layers,Time Invariant Global Field on Soil Levels [XY-na] {sdepth:} [amla],Efx.slthick,Efx.slthick,True,True,Summary,,land,True,,
rec1IyeZAznBlbOSi,fx.sftgif,sftgif,land_ice_area_fraction,Land Ice Area Percentage,Model Configuration Field,fx.sftgif,fx.sftgif,True,True,Summary,,land,True,,
rec1e4BlL10YGwkqn,SImon.siconc,siconc,sea_ice_area_fraction,Sea-Ice Area Percentage (Ocean Grid),"""Weighted Time-Mean on Single Level, Masked (Sea)""",SImon.siconc,SImon.siconc,True,True,Summary,SImon.siconc,seaIce,,,
rec2PswE32kAHR8Kf,Oyr.o2,o2,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,Dissolved Oxygen Concentration,"""Temporal mean, Global ocean field on model levels [XY-O] [tmean]""",Oyr.o2,Oyr.o2,True,,Summary,,ocnBgchem,,"Removed following review of corrected ESGF download stats.
",
rec2ahyEdw0Tw0svl,Amon.wap,wap,lagrangian_tendency_of_air_pressure,Omega (=dp/dt),Time-Mean on 19 Pressure Levels,Amon.wap,Amon.wap,True,True,Summary,Amon.wap,atmos,,,
rec3QcO2HTAqe9HvS,Amon.pr,pr,precipitation_flux,Precipitation,Time and Area Mean on Single Level,Amon.pr,Amon.pr,True,True,Summary,Amon.pr,atmos,,,
rec3ppJ9RimRu0vxL,6hrLev.hus,,,,,6hrLev.hus,,,,Summary,,,,,
rec3rbERyRfP18Rtc,Efx.siltfrac,siltfrac,volume_fraction_of_silt_in_soil,Silt Fraction,Time Invariant Global Field on Soil Levels [XY-na] {sdepth:} [amla],Efx.siltfrac,Efx.siltfrac,True,,Summary,,atmos,True,Removed following review of corrected ESGF download stats.,
rec3t4vuYE4MUKHhD,Amon.rsuscs,rsuscs,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Shortwave Radiation,Time and Area Mean on Single Level,Amon.rsuscs,Amon.rsuscs,True,True,Summary,Amon.rsuscs,atmos,,,
rec49ui5wqCvEmfnW,Amon.ta,ta,air_temperature,Air Temperature,Time-Mean on 19 Pressure Levels,Amon.ta,Amon.ta,True,True,Summary,Amon.ta,atmos,,,
rec4FBxoHTFjEYd9I,CFday.cl,,,,,CFday.cl,,,,Summary,,,,,
rec5EWtHWkpO53lMG,CFday.zg,,,,,CFday.zg,,,,Summary,,,,,
rec5z4sjMBh2x8QqM,6hrPlevPt.va,va,northward_wind,Northward Wind,"""Synoptic Field on Three Pressure Levels, Cell Mean""",6hrPlevPt.va,6hrPlevPt.va,True,True,Summary,,atmos,,,6hrPlevPt.va
rec71syvnecQ9ObNC,6hrLev.va,,,,,6hrLev.va,,,,Summary,,,,,
rec73v7je4CkiTMEy,fx.areacella,areacella,cell_area,Grid-Cell Area for Atmospheric Grid Variables,"""Model Configuration Field, Area Sum (No Height Dependence)""",fx.areacella,fx.areacella,True,True,Summary,,"atmos, land",True,,
rec8MlEt8m6ZFpJ3N,Efx.rsd,,,,,Efx.rsd,,,,Summary,,,,,
rec8khg0WHgAa5oWG,day.hur,hur,relative_humidity,Relative Humidity,Time-Mean on 8 Pressure Levels,day.hur,day.hur,True,True,Summary,,atmos,,,day.hur
rec92ErjowVBd055J,Eday.hus,hus,specific_humidity,Specific Humidity,Time-Mean on 19 Pressure Levels,Eday.hus,Eday.hus,True,True,Summary,,atmos,,,Eday.hus
rec9H05mt6lWBsugL,CFday.hur,,,,,CFday.hur,,,,Summary,,,,,
rec9RkqRCygX7IGS9,day.rlds,rlds,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,Time and Area Mean on Single Level,day.rlds,day.rlds,True,,Summary,,atmos,,Removed following review of corrected ESGF download stats.,
rec9Y3AZWz0uz6y4L,Omon.wo,wo,upward_sea_water_velocity,Sea Water Vertical Velocity,"""Temporal mean, Global ocean field on model levels [XY-O] [tmean]""",Omon.wo,Omon.wo,True,True,Summary,,ocean,,,Omon.wo
rec9ajjAdi3wZGP1t,Amon.rlus,rlus,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,Time and Area Mean on Single Level,Amon.rlus,Amon.rlus,True,True,Summary,Amon.rlus,atmos,,,
recA21maLUJ2qUzvT,Lmon.lai,lai,leaf_area_index,Leaf Area Index,"""Time and Area Mean on Single Level, Masked (Land)""",Lmon.lai,Lmon.lai,True,True,Summary,Lmon.lai,land,,,
recAb8HL5T0RMkCGm,Omon.thkcello,thkcello,cell_thickness,Ocean Model Cell Thickness,"""Temporal mean, Global ocean field on model levels [XY-O] [tmean]""",,Omon.thkcello,True,True,Summary,,ocean,,,Omon.thkcello
recCG7qp0zu6ejfqZ,fx.areacellr,areacellr,cell_area,Grid-Cell Area for River Model Variables,"""Model Configuration Field, Area Sum (No Height Dependence)""",fx.areacellr,fx.areacellr,True,,Summary,,land,True,"Removed following June 2024 decision on publication threshold.
",
recCSuTM8qZlrshGk,day.clt,clt,cloud_area_fraction,Total Cloud Cover Percentage,Time and Area Mean on Single Level,day.clt,day.clt,True,True,Summary,day.clt,atmos,,,
recCoJvUBgHI58dkx,Oday.sos,sos,sea_surface_salinity,Sea Surface Salinity,"""Time and Area Mean on Single Level, Masked (Sea)""",,Oday.sos,True,True,Summary,Oday.sos,ocean,,,
recDE4gYbqbK7Plmr,LImon.snw,snw,surface_snow_amount,Surface Snow Amount,"""Time and Area Mean on Single Level, Masked (Land)""",LImon.snw,,,True,Summary,LImon.snw,"landIce, land",,Added following review of corrected ESGF download stats.,
recDEto82Mo6wOfBn,Lmon.mrso,mrso,mass_content_of_water_in_soil,Total Soil Moisture Content,"""Time and Area Mean on Single Level, Masked (Land)""",Lmon.mrso,Lmon.mrso,True,True,Summary,Lmon.mrso,land,,,
recDQZX2q4Yu6HyFv,Lmon.mrsos,mrsos,mass_content_of_water_in_soil_layer,Moisture in Upper Portion of Soil Column,"""Time-Mean on Single Soil-Model Level, Masked (Land)""",Lmon.mrsos,Lmon.mrsos,True,True,Summary,Lmon.mrsos,land,,,
recDji4tlCxfpRuvN,day.ua,ua,eastward_wind,Eastward Wind,Time-Mean on 8 Pressure Levels,day.ua,day.ua,True,True,Summary,,atmos,,,day.ua
recDyunrQGzoHMVo4,Omon.tos,tos,sea_surface_temperature,Sea Surface Temperature,"""Time and Area Mean on Single Level, Masked (Sea)""",Omon.tos,Omon.tos,True,True,Summary,Omon.tos,ocean,,,
recEImBPNVyjWbJdC,Amon.clwvi,clwvi,atmosphere_mass_content_of_cloud_condensed_water,Condensed Water Path,Time and Area Mean on Single Level,Amon.clwvi,Amon.clwvi,True,True,Summary,Amon.clwvi,atmos,,,
recEKmH2BxnRRLwwn,Omon.so,so,sea_water_salinity,Sea Water Salinity,"""Temporal mean, Global ocean field on model levels [XY-O] [tmean]""",Omon.so,Omon.so,True,True,Summary,,ocean,,,Omon.so
recETi81ICwnj8yro,Amon.sfcWind,sfcWind,wind_speed,Near-Surface Wind Speed,Time-Mean Near-Surface Field (10m),Amon.sfcWind,Amon.sfcWind,True,True,Summary,Amon.sfcWind,atmos,,,
recEjY1TNri8XDxdB,6hrLev.ta,,,,,6hrLev.ta,,,,Summary,,,,,
recFjfF7wQIGlINvK,day.vas,vas,northward_wind,Northward Near-Surface Wind,Time-Mean Near-Surface Field (10m),day.vas,day.vas,True,True,Summary,day.vas,atmos,,,
recFpBqodKev9y3eX,Eday.va,va,northward_wind,Northward Wind,Time-Mean on 19 Pressure Levels,Eday.va,Eday.va,True,True,Summary,,atmos,,,Eday.va
recG0uM5eu2FCuQis,6hrPlevPt.ta,ta,air_temperature,Air Temperature,"""Synoptic Field on Three Pressure Levels, Cell Mean""",6hrPlevPt.ta,6hrPlevPt.ta,True,True,Summary,,atmos,,,6hrPlevPt.ta
recG1fy4boX4q3z9j,day.psl,psl,air_pressure_at_mean_sea_level,Sea Level Pressure,Time and Area Mean on Single Level,day.psl,day.psl,True,True,Summary,day.psl,atmos,,,
recGQM0o3TeHQQ7OM,Eday.ua,ua,eastward_wind,Eastward Wind,Time-Mean on 19 Pressure Levels,Eday.ua,Eday.ua,True,True,Summary,,atmos,,,Eday.ua
recHCiyUgbC8mY80W,Omon.sos,sos,sea_surface_salinity,Sea Surface Salinity,"""Time and Area Mean on Single Level, Masked (Sea)""",Omon.sos,Omon.sos,True,True,Summary,Omon.sos,ocean,,,
recHZlHJqHvGkDfQW,Omon.uo,uo,sea_water_x_velocity,Sea Water X Velocity,"""Temporal mean, Global ocean field on model levels [XY-O] [tmean]""",Omon.uo,Omon.uo,True,True,Summary,,ocean,,,Omon.uo
recIE25D7hQJaOuXU,Lmon.mrros,mrros,surface_runoff_flux,Surface Runoff,"""Time and Area Mean on Single Level, Masked (Land)""",Lmon.mrros,Lmon.mrros,True,True,Summary,Lmon.mrros,land,,,
recJ1htkGEnJEMy8s,Amon.clw,clw,mass_fraction_of_cloud_liquid_water_in_air,Mass Fraction of Cloud Liquid Water,"""Temporal mean, Global field on model atmosphere levels [XY-A]""",Amon.clw,Amon.clw,True,True,Summary,,atmos,,,Amon.clw
recJXjp8nAzANKmHu,Omon.zos,zos,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,"""Time and Area Mean on Single Level, Masked (Sea)""",Omon.zos,Omon.zos,True,True,Summary,Omon.zos,ocean,,,
recJZMKbbTpzfHB05,Omon.umo,umo,ocean_mass_x_transport,Ocean Mass X Transport,"""Temporal mean, Global ocean field on model levels [XY-O] [tmean]""",Omon.umo,Omon.umo,True,True,Summary,,ocean,,,Omon.umo
recKg2mFqWeUzSPI2,Ofx.basin,basin,region,Region Selection Index,Model Configuration Integer Field of Flag Values,Ofx.basin,Ofx.basin,True,True,Summary,,ocean,True,,
recKu7r2k1t76BIzy,Amon.cl,cl,cloud_area_fraction_in_atmosphere_layer,Percentage Cloud Cover,"""Temporal mean, Global field on model atmosphere levels [XY-A]""",Amon.cl,Amon.cl,True,True,Summary,,atmos,,,Amon.cl
recLFnAgHDr6Px7rk,day.sfcWind,sfcWind,wind_speed,Daily-Mean Near-Surface Wind Speed,Time-Mean Near-Surface Field (10m),day.sfcWind,day.sfcWind,True,True,Summary,day.sfcWind,atmos,,,
recLal7zdsKfOeg3D,SImon.sitimefrac,sitimefrac,fraction_of_time_with_sea_ice_area_fraction_above_threshold,Fraction of Time Steps with Sea Ice,"""Time and Area Mean on Single Level, Masked (Sea)""",,,,True,Summary,SImon.sitimefrac,seaIce,,Added following review of corrected ESGF download stats.,
recMUEukca7Ffp3ek,Omon.volcello,volcello,ocean_volume,Ocean Grid-Cell Volume,"""Temporal mean, Global ocean field on model levels [XY-O] [asm-tmean]""",,Omon.volcello,,,Summary,,ocean,,Added in version 1.1 and removed at version 1.2,
recMt5ambOSPVHUUe,Amon.huss,huss,specific_humidity,Near-Surface Specific Humidity,Time-Mean Near-Surface Field (2m),Amon.huss,Amon.huss,True,True,Summary,Amon.huss,atmos,,,
recN6qmjqlDHgEtQK,E1hr.pr,pr,precipitation_flux,Precipitation,Time and Area Mean on Single Level,E1hr.pr,E1hr.pr,True,True,Summary,,atmos,,,E1hr.pr
recNKip9fniiw1Zkn,Omon.tauvo,tauvo,downward_y_stress_at_sea_water_surface,Sea Water Surface Downward Y Stress,Time-Mean Surface Field (Area Mean or Vertices),Omon.tauvo,Omon.tauvo,True,True,Summary,Omon.tauvo,ocean,,,
recNfxSGMow8awxoZ,SIday.siconca,,,,,,SIday.siconca,True,,Summary,,,,,
recO3w4WO3SLuSRmI,Amon.hfss,hfss,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,Time and Area Mean on Single Level,Amon.hfss,Amon.hfss,True,True,Summary,Amon.hfss,atmos,,,
recO6bhrtuxHWhF5A,Ofx.areacello,areacello,cell_area,Grid-Cell Area for Ocean Variables,"""Model Configuration Field, Area Sum (No Height Dependence)""",Ofx.areacello,Ofx.areacello,True,True,Summary,,ocean,True,,
recOHC4BXtwlq1hO7,Amon.clivi,clivi,atmosphere_mass_content_of_cloud_ice,Ice Water Path,Time and Area Mean on Single Level,Amon.clivi,Amon.clivi,True,True,Summary,Amon.clivi,atmos,,,
recP0ize56x0xHBuW,Amon.rlds,rlds,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,Time and Area Mean on Single Level,Amon.rlds,Amon.rlds,True,True,Summary,Amon.rlds,atmos,,,
recP0maRuLa5A4wX9,day.rlut,rlut,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,Time and Area Mean on Single Level,day.rlut,day.rlut,True,,Summary,,atmos,,Removed following review of corrected ESGF download stats.,
recP80Hr5jazM7KHY,day.hfls,hfls,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,Time and Area Mean on Single Level,,day.hfls,True,,Summary,,atmos,,,
recPKydYXys6AinrA,Ofx.volcello,,,,,Ofx.volcello,Ofx.volcello,,,Summary,,,,,
recRntr5rhdEMdWSB,Amon.ps,ps,surface_air_pressure,Surface Air Pressure,Time and Area Mean on Single Level,Amon.ps,Amon.ps,True,True,Summary,Amon.ps,atmos,,,
recRozST9DW3Oa1wF,day.rlus,rlus,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,Time and Area Mean on Single Level,,day.rlus,True,,Summary,,atmos,,,
recRsL01U3m3RRZbu,Amon.clt,clt,cloud_area_fraction,Total Cloud Cover Percentage,Time and Area Mean on Single Level,Amon.clt,Amon.clt,True,True,Summary,Amon.clt,atmos,,,
recSgv06ZC7vkyuHb,SImon.siu,siu,sea_ice_x_velocity,X-Component of Sea-Ice Velocity,"""Time  mean, weighted by sea ice area, Global field (single level) [XY-na] {on model mest points} [amnsi-twm]""",SImon.siu,SImon.siu,True,True,Summary,SImon.siu,seaIce,,,
recTW7tcpGAvLU1yv,CFday.ps,ps,surface_air_pressure,Surface Air Pressure,Time and Area Mean on Single Level,,CFday.ps,True,True,Summary,CFday.ps,atmos,,,
recTXyTVi2sd4kulA,fx.orog,orog,surface_altitude,Surface Altitude,Model Configuration Field,fx.orog,fx.orog,True,True,Summary,,land,True,,
recTqdj7nqvVAuW2o,E3hr.sfcWind,sfcWind,wind_speed,Near-Surface Wind Speed,Time-Mean Near-Surface Field (10m),E3hr.sfcWind,E3hr.sfcWind,True,,Summary,,atmos,,"Removed following review of corrected ESGF download stats.
",
recUNK77N4wf3WdYC,Amon.rsdscs,rsdscs,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Shortwave Radiation,Time and Area Mean on Single Level,Amon.rsdscs,Amon.rsdscs,True,True,Summary,Amon.rsdscs,atmos,,,
recVFlmqPfcfbm1Yv,fx.sftlf,sftlf,land_area_fraction,Percentage of the Grid Cell Occupied by Land (Including Lakes),Model Configuration Field,fx.sftlf,fx.sftlf,True,True,Summary,,atmos,True,,
recVJ0ev9JrodTUwJ,Efx.rlu,,,,,Efx.rlu,,,,Summary,,,,,
recVg9cdJPAwrD47i,Amon.tasmin,tasmin,air_temperature,Daily Minimum Near-Surface Air Temperature,"""Temporal mean, Global field (single level) [XY-na] {:height2m} [dmin]""",Amon.tasmin,Amon.tasmin,True,True,Summary,Amon.tasmin,atmos,,,
recVyuhP1p6271Ngo,Omon.zostoga,zostoga,global_average_thermosteric_sea_level_change,Global Average Thermosteric Sea Level Change,Time and Global Mean on a Single Level,,,,True,Summary,Omon.zostoga,ocean,,Added following review of corrected ESGF download stats.,
recVzgKZNimluHQVd,Ofx.sftof,sftof,sea_area_fraction,Sea Area Percentage,Global field (single level) [XY-na]  [fixed],Ofx.sftof,Ofx.sftof,True,True,Summary,,ocean,True,,
recWu0rWGbTETy4vp,Oday.tos,tos,sea_surface_temperature,Sea Surface Temperature,"""Time and Area Mean on Single Level, Masked (Sea)""",,Oday.tos,True,True,Summary,Oday.tos,ocean,,,
